date,AveragePrice
2016-09-15T00:00:00.000+05:30,4.2001546749999866E7
2016-06-30T00:00:00.000+05:30,1.302050451199999E7
2016-03-07T00:00:00.000+05:30,-5847988.599999996
2016-09-27T00:00:00.000+05:30,5586687.922000031
2016-02-05T00:00:00.000+05:30,-8.240859155199999E7
2015-11-13T00:00:00.000+05:30,-3.669954873799994E7
2016-10-17T00:00:00.000+05:30,-2509566.4679999924
2016-06-21T00:00:00.000+05:30,1.1880864301999984E7
2016-09-14T00:00:00.000+05:30,6.85152113059998E7
2016-07-22T00:00:00.000+05:30,387306.3559999674
2015-12-30T00:00:00.000+05:30,-7417328.52600001
2016-10-19T00:00:00.000+05:30,5394742.759999998
2016-02-12T00:00:00.000+05:30,-7748507.44400004
2016-06-02T00:00:00.000+05:30,-562108.1979999827
2016-01-12T00:00:00.000+05:30,-4629612.171999977
2015-12-09T00:00:00.000+05:30,-1236065.9059999152
2016-09-12T00:00:00.000+05:30,3.8928190847999915E7
2016-06-16T00:00:00.000+05:30,1.1104483193999974E7
2016-04-14T00:00:00.000+05:30,3880142.487999978
2016-03-01T00:00:00.000+05:30,3.659353931199992E7
2016-09-02T00:00:00.000+05:30,-5652708.337999997
2016-03-28T00:00:00.000+05:30,-7216540.578000029
2016-02-18T00:00:00.000+05:30,-3.004821598599996E7
2016-06-09T00:00:00.000+05:30,742150.790000049
2016-05-11T00:00:00.000+05:30,-7687520.912000015
2016-07-12T00:00:00.000+05:30,4881839.926000024
2016-03-16T00:00:00.000+05:30,2.1841710862E7
2016-04-21T00:00:00.000+05:30,-4526991.65600004
2016-04-05T00:00:00.000+05:30,2.870041702999999E7
2016-02-24T00:00:00.000+05:30,3.1111767821999937E7
2016-08-22T00:00:00.000+05:30,-2347001.5539999595
2016-07-01T00:00:00.000+05:30,1.5213151694000017E7
2016-02-22T00:00:00.000+05:30,1.2642485963999946E7
2016-03-17T00:00:00.000+05:30,9966453.82399995
2016-09-16T00:00:00.000+05:30,-3099355.36400005
2016-09-06T00:00:00.000+05:30,3393652.307999977
2015-12-21T00:00:00.000+05:30,935174.3179999404
2016-05-31T00:00:00.000+05:30,9267160.938000066
2016-01-08T00:00:00.000+05:30,-3.913916620400007E7
2016-06-28T00:00:00.000+05:30,9840965.75599993
2015-11-17T00:00:00.000+05:30,-9540936.480000038
2016-10-05T00:00:00.000+05:30,-2494110.674000006
2016-01-25T00:00:00.000+05:30,-3.0461274956E7
2016-07-19T00:00:00.000+05:30,-3162608.5239999546
2016-10-20T00:00:00.000+05:30,-7580463.11599997
2016-05-10T00:00:00.000+05:30,6879111.08600002
2016-08-15T00:00:00.000+05:30,7138383.108000025
2016-05-12T00:00:00.000+05:30,-3.8864522473999955E7
2016-10-28T00:00:00.000+05:30,-1.6863372782000065E7
2016-10-26T00:00:00.000+05:30,1.4847784126000026E7
2016-06-27T00:00:00.000+05:30,-7779856.879999964
2016-04-29T00:00:00.000+05:30,-5230437.850000061
2015-11-25T00:00:00.000+05:30,115773.00799999386
2016-03-18T00:00:00.000+05:30,-2.2142808521999992E7
2015-12-22T00:00:00.000+05:30,-861505.8160000176
